python-pygit2 0.24.2-1
python-pyparsing 2.1.10-1
python-reportlab 3.3.0-1
python-requests 2.12.4-1
python-setuptools 1:32.2.0-1
python-six 1.10.0-2
python-urllib3 1.19.1-1
python-xdg 0.25-3
python2 2.7.12-2
python2-appdirs 1.4.0-4
python2-cairo 1.10.0-2
python2-chardet 2.3.0-2
python2-dbus 1.2.4-1
python2-distutils-extra 2.39-1
python2-gobject 3.22.0-1
python2-gobject2 2.28.6-12
python2-ipaddr 2.1.11-1
python2-ipy 0.83-1
python2-packaging 16.8-1
python2-pillow 3.4.2-1
python2-pybluez 0.22-1
python2-pycurl 7.43.0-1
python2-pyparsing 2.1.10-1
python2-requests 2.12.4-1
python2-setuptools 1:32.2.0-1
python2-simplejson 3.10.0-1
python2-six 1.10.0-2
python2-urllib3 1.19.1-1
qemu 2.8.0-1
qpdf 6.0.0-2
qrencode 3.4.4-1
qt4 4.8.7-11
qt5-base 5.7.1-1
randrproto 1.5.0-1
ranger 1.7.2-1
raptor 2.0.15-5
rarian 0.8.1-5
readline 7.0.001-1
recode 3.6-9
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rest 0.8.0-1
rofi-0.15.12 0.15.12-1
rp-pppoe 3.12-1
rpcbind 0.2.4-2
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-2
rubberband 1.8.1-3
run-parts 4.8.1-1
rxvt-unicode 9.22-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.14-1
sane 1.0.25-1
sardi-icons 8.0-8
sbc 1.3-1
schroedinger 1.0.11-3
screenfetch 3.7.0-1
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl2 2.0.5-2
sdl2_ttf 2.0.14-1
sdl_image 1.2.12-3
sdlmame 0.180-1
seabios 1.10.1-1
sed 4.2.2-4
serf 1.3.9-1
shadow 4.4-3
shairplay 20160101.ce80e00-1
shared-mime-info 1.7-1
simple-scan 3.22.0.1-1
slang 2.3.1a-1
smbclient 4.5.3-1
snappy 1.1.3-2
sound-theme-freedesktop 0.8-2
soundtouch 1.9.2-1
spandsp 0.0.6-1
speech-dispatcher 0.8.5-1
speex 1.2.0-1
speexdsp 1.2rc3-2
spice 0.12.8-1
spice-glib 0.33-3
spice-gtk3 0.33-6
sqlite 3.15.2-1
startup-notification 0.12-4
strace 4.15-1
subversion 1.9.5-1
sudo 1.8.18.p1-1
sysfsutils 2.1.0-9
system-config-printer 1.5.7-2
systemd 232-6
systemd-sysvcompat 232-6
taglib 1.11.1-1
talloc 2.1.8-1
tar 1.29-2
tcl 8.6.6-1
tdb 1.3.12-1
telepathy-glib 0.24.1-1
terminus-font 4.40-2
tevent 1:0.9.31-1
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
thunar 1.6.10-3
thunar-archive-plugin 0.3.1-6
thunar-media-tags-plugin 0.2.1-2
thunar-volman 0.8.1-2
